alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
cyclebar-nola-uptown-new-orleans,"Boxing,Cycling","Address(address_line0=, address_line1=3823 Magazine St, address_line2=, city=New Orleans, state=LA, zip_code=70115)",37841,CycleBar,Garden District,5000+,4.8283167
athletic-outcomes-austin,"Low-credit livestreams,Livestream HIIT,Strength Training","Address(address_line0=, address_line1=2301 E Riverside Dr, address_line2=Unit 50, city=Austin, state=TX, zip_code=78741)",32340,Athletic Outcomes,East Riverside-Oltorf,5000+,4.955347
alpha-cryo-arlington,Cryotherapy,"Address(address_line0=, address_line1=2445 Army Navy Dr, address_line2=, city=Arlington, state=VA, zip_code=22206)",40182,Alpha Cryo-Arlington,Arlington,500+,4.876423
ryde-river-oaks-houston,"Low-credit livestreams,Cycling","Address(address_line0=River Oaks Shopping Center, address_line1=2005 W Gray St, address_line2=D, city=Houston, state=TX, zip_code=77019)",34244,RYDE,River Oaks,5000+,4.8318777
define-austin-south-lamar,"Barre,Yoga,Cycling","Address(address_line0=null, address_line1=809 S Lamar Blvd, address_line2=Suite K, city=Austin, state=TX, zip_code=78704)",31373,DEFINE,South Lamar,5000+,4.849039
cyclebar-culver-city,Cycling,"Address(address_line0=, address_line1=4130 Sepulveda Blvd, address_line2=, city=Culver City, state=CA, zip_code=90230)",37547,CycleBar,Inglewood,5000+,4.872349
sweatshop-on-central-phoenix,Yoga,"Address(address_line0=, address_line1=100 E Camelback Rd, address_line2=, city=Phoenix, state=AZ, zip_code=85012)",37792,Sweatshop On Central,Alhambra,5000+,4.8472157
drive-fitness-jacksonville-beach,Strength Training,"Address(address_line0=, address_line1=930 7th Avenue South, address_line2=, city=Jacksonville Beach, state=FL, zip_code=32250)",45784,Drive Fitness ,,1000+,4.986518
livkraft-performance-wellness-la-jolla,"Cryotherapy,Sauna,Sports recovery","Address(address_line0=, address_line1=7710 Fay Avenue, address_line2=, city=La Jolla, state=CA, zip_code=92037)",51095,LIVKRAFT Performance Wellness,La Jolla,1000+,4.8805556
trufusion-blue-diamond-las-vegas,"Yoga,Strength Training","Address(address_line0=null, address_line1=4750 Blue Diamond Rd, address_line2=Suite 100, city=Las Vegas, state=NV, zip_code=89139)",35266,TruFusion,Enterprise,5000+,4.8334227
rejuvcryo-and-wellness-encinitas,Cryotherapy,"Address(address_line0=, address_line1=463 Encinitas Boulevard, address_line2=, city=Encinitas, state=CA, zip_code=92024)",50499,RejuvCryo & Wellness,Encinitas,1000+,4.9046154
training-mate-santa-monica,"Rowing,Strength Training","Address(address_line0=, address_line1=1454 Lincoln Boulevard, address_line2=, city=Santa Monica, state=CA, zip_code=90401)",47472,Training Mate,Santa Monica,5000+,4.934527
ride-indoor-cycling-downtown-austin,Cycling,"Address(address_line0=null, address_line1=117 Lavaca St, address_line2=, city=Austin, state=TX, zip_code=78701)",24551,RIDE Indoor Cycling,Downtown,5000+,4.90069
hy-lo-fitness-west-ashley-charleston,"Rowing,Barre,Pilates,Strength Training,Yoga,Cycling","Address(address_line0=, address_line1=466 Savannah Highway, address_line2=, city=Charleston, state=SC, zip_code=29407)",45506,HY | LO Fitness ,,5000+,4.865527
bodyrok-polk-st-san-francisco,"Pilates,Strength Training","Address(address_line0=, address_line1=1850 Polk Street, address_line2=, city=San Francisco, state=CA, zip_code=94109)",45458,BODYROK,,5000+,4.8698845
shred415-st-louis-brentwood,"Rowing,Strength Training,Running","Address(address_line0=null, address_line1=8384 Musick Memorial Dr, address_line2=, city=Brentwood, state=MO, zip_code=63144)",26018,Shred415,Brentwood,5000+,4.875448
corepower-yoga-foothill-salt-lake-city,Yoga,"Address(address_line0=, address_line1=1400 Foothill Dr, address_line2=, city=Salt Lake City, state=UT, zip_code=84108)",37835,CorePower Yoga,Sugarhouse,5000+,4.839592
