alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
quantum-uplift-byron-bay,Meditation,"Address(address_line0=, address_line1=Unit 18, 1A Banksia Drive, address_line2=, city=Byron Bay , state=, zip_code=2481)",49188,Quantum Uplift,,2,5.0
float-well-wellington,Float,"Address(address_line0=null, address_line1=65 Cuba Street, address_line2=null, city=Wellington, state=null, zip_code=6011)",84332,Float Well,,0,0.0
womens-transformation-studio-norwood,Boxing,"Address(address_line0=, address_line1=52 The Parade, address_line2=, city=Norwood, state=, zip_code=5067)",32631,Women's Transformation Studio,Norwood,11,3.909091
fitness-33-adelaide,"Gym Time,Boxing","Address(address_line0=null, address_line1=57 Byron Pl, address_line2=null, city=Adelaide, state=SA, zip_code=5000)",32457,Fitness 33,CBD,22,4.2727275
wax-factor-gentlemen-singapore,"Spray tan,Hair removal","Address(address_line0=null, address_line1=04, 181 Orchard Rd, address_line2=null, city=Singapore, state=null, zip_code=238896)",84081,Wax Factor,,0,0.0
move-with-hana-melbourne,,"Address(address_line0=null, address_line1=, address_line2=, city=Melbourne, state=, zip_code=)",83450,Move with Hana,,0,0.0
story-martial-arts-melbourne,,"Address(address_line0=null, address_line1=, address_line2=, city=Melbourne, state=, zip_code=)",84197,Story Martial Arts,,0,0.0
bodyfit-jakarta,Strength Training,"Address(address_line0=, address_line1=Jl. Kemang Raya No.70, RT.8/RW.2, Bangka, Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota, address_line2=, city=Jakarta, state=, zip_code=12730)",50866,BodyFit Jakarta,,5000+,4.922247
soulbox-jakarta-selatan,"Dance,Barre,Strength Training,Yoga","Address(address_line0=Tower 3 Senopati Suites Level 3, address_line1=Jl. Senopati No.41, RT.8/RW.2, Senayan, address_line2=null, city=Jakarta Selatan, state=null, zip_code=12190)",50788,SOULBOX,,5000+,4.885923
hustle-house-jakarta,Strength Training,"Address(address_line0=, address_line1=Jl. Hang Lekir X No.6, RT.5/RW.6,, address_line2=, city=Jakarta, state=, zip_code=12120)",50777,Hustle House,,5000+,4.890876
sana-studio-cipete-jakarta,"Dance,Strength Training","Address(address_line0=, address_line1=Jl. Cipete Raya 9 no. 1, address_line2=, city=Jakarta, state=, zip_code=00000)",50787,Sana Studio,,1000+,4.9327106
alder-fitness-boutique-livestream-jakarta,"Dance,Low-credit livestreams,Strength Training,Yoga,Martial Arts,Livestream dance","Address(address_line0=, address_line1=Jl. Wijaya I No.9EF, address_line2=, city=Jakarta, state=, zip_code=12170)",50781,Alder Fitness Boutique,,5000+,4.8602543
gudang-gudang-yoga-studio-jakarta,Yoga,"Address(address_line0=, address_line1=Kemang Timur Raya No. 88 – Jakarta Selatan 12730, address_line2=, city=Jakarta, state=, zip_code=12730)",52041,Gudang Gudang Yoga Studio,,1000+,4.906243
sana-studio-kith-and-kin-jakarta,"Dance,Pilates,Yoga","Address(address_line0=, address_line1=Jl. Kemang Timur No.72, RT.9/RW.4, Bangka, Mampang Prpt., address_line2=, city=Jakarta, state=, zip_code=12730)",50779,Sana Studio ,,1000+,4.9498863
active-barn-jakarta,"Strength Training,Livestream strength training","Address(address_line0=, address_line1=Jl. Kemang Raya No. 6, address_line2=, city=Jakarta, state=, zip_code=12730)",50782,Active Barn,,1000+,4.8793063
panpuri-wellness-bangkok,Massage,"Address(address_line0=12th floor, address_line1=Gaysorn Urban Retreat,, address_line2=Gaysorn Village Ploenchit Road, Lumpini, Pathumwan, city=Bangkok, state=, zip_code=10330)",52365,PANPURI WELLNESS,,1000+,4.8724833
mood-wellness-studio-jakarta,Yoga,"Address(address_line0=, address_line1=Jl. Benda no 5, Jakarta Selatan, address_line2=, city=Jakarta, state=, zip_code=12560)",57711,Mood - Wellness Studio,,1000+,4.886965
