ride-republic-london,Cycling,"Address(address_line0=, address_line1=709 Fulham Rd, address_line2=, city=London, state=, zip_code=SW6 5UL)",26917,Ride Republic,Parson’s Green,5000+,4.7586083
alexandra-shiatsu-colston-street-bristol,Sports recovery,"Address(address_line0=, address_line1=82 Colston Street, address_line2=, city=Bristol, state=, zip_code=BS1 5BB)",45688,Alexandra Shiatsu,City Centre,100+,4.95
body-base-hove,Massage,"Address(address_line0=, address_line1=116 Portland Rd, address_line2=, city=Hove, state=, zip_code=BN3 5DN)",49118,Body Base,,100+,4.858268
at-your-beat-london,"Dance,Livestream strength training,Livestream stretching,Livestream dance","Address(address_line0=St John's Centre,, address_line1=64 Lacrom Street, address_line2=, city=London, state=, zip_code=SE17 1NQ)",34006,At Your Beat,Marble Arch,5000+,4.807905
plts-zuid-amsterdam,"Barre,Pilates,Strength Training","Address(address_line0=, address_line1=106 Stadionplein, address_line2=, city=Amsterdam, state=, zip_code=1076 CK)",51912,PLTS,,5000+,4.766172
boom-cycle-hammersmith-london,Cycling,"Address(address_line0=, address_line1=10 Hammersmith Grove, address_line2=, city=London, state=, zip_code=W6 7AP)",37795,Boom Cycle,Hammersmith,5000+,4.69117
yogarise-peckham-london,"Low-credit livestreams,Yoga,Livestream yoga","Address(address_line0=, address_line1=133 Rye Ln, address_line2=, city=London, state=, zip_code=SE15 4ST)",27907,Yogarise,Peckham,5000+,4.7211432
cph-float-kbenhavn,"Meditation,Sports recovery","Address(address_line0=, address_line1=Romersgade 25, address_line2=, city=København, state=, zip_code=1362)",56904,CPH Float,,100+,4.7848363
digme-fitness-covent-garden-london,"Yoga,Cycling","Address(address_line0=, address_line1=4-10 Tower St, address_line2=Covent Garden , city=London, state=, zip_code=WC2H 9NP)",38974,Digme Fitness,Covent Garden,5000+,4.7028337
boostconcept-madrid,"Personal Training,Low-credit livestreams,Livestream HIIT,Strength Training,Livestream strength training","Address(address_line0=null, address_line1=62 Calle de Guzmán el Bueno, address_line2=null, city=Madrid, state=null, zip_code=28015)",61953,BOOSTCONCEPT,,1000+,4.8782287
digme-fitness-moorgate-london,Cycling,"Address(address_line0=, address_line1=1 Fore St, address_line2=, city=London, state=, zip_code=EC2Y 5EJ)",36462,Digme Fitness,Moorgate,5000+,4.684121
barrys-gteborg,"Strength Training,Running","Address(address_line0=null, address_line1=Kyrkogatan 58, address_line2=null, city=Göteborg, state=null, zip_code=411 08)",62543,Barry's,,1000+,4.7356095
